Id;Name
0;Москва, Москва (город федерального значения)
1;Санкт-Петербург, Санкт-Петербург (город федерального значения)
2;Нижний Новгород, Нижегородская область
3;Самара, Самарская область
4;Челябинск, Челябинская область
5;Краснодар, Краснодарский край
6;Екатеринбург, Свердловская область
7;Уфа, Республика Башкортостан
8;Пермь, Пермский край
9;Ростов-на-Дону, Ростовская область
10;Саратов, Саратовская область
11;Омск, Омская область
12;Новосибирск, Новосибирская область
13;Воронеж, Воронежская область
14;Волгоград, Волгоградская область
15;Барнаул, Алтайский край
16;Тюмень, Тюменская область
17;Казань, Республика Татарстан
18;Белгород, Белгородская область
19;Красноярск, Красноярский край
20;Тольятти, Самарская область
21;Ижевск, Удмуртская республика
22;Курган, Курганская область
23;Оренбург, Оренбургская область
24;Киров, Кировская область
25;Пенза, Пензенская область
26;Новокузнецк, Кемеровская область
27;Томск, Томская область
28;Калининград, Калининградская область
29;Ульяновск, Ульяновская область
30;Кемерово, Кемеровская область
31;Иркутск, Иркутская область
32;Чебоксары, Чувашская республика
33;Сургут, Ханты-Мансийский автономный округ - Югра
34;Липецк, Липецкая область
35;Набережные Челны, Республика Татарстан
36;Тула, Тульская область
37;Брянск, Брянская область
38;Тамбов, Тамбовская область
39;Ставрополь, Ставропольский край
40;Рязань, Рязанская область
41;Курск, Курская область
42;Ярославль, Ярославская область
43;Нижневартовск, Ханты-Мансийский автономный округ - Югра
44;Смоленск, Смоленская область
45;Магнитогорск, Челябинская область
46;Нижний Тагил, Свердловская область
47;Тверь, Тверская область
48;Воркута (а/п), Республика Коми
49;Петрозаводск, Республика Карелия
50;Сочи, Краснодарский край
51;Орел, Орловская область
52;Новороссийск, Краснодарский край
53;Вологда, Вологодская область
54;Таганрог, Ростовская область
55;Йошкар-Ола, Республика Марий Эл
56;Иваново, Ивановская область
57;Владимир, Владимирская область
58;Миасс, Челябинская область
59;Архангельск, Архангельская область
60;Каменск-Уральский, Свердловская область
61;Великий Новгород, Новгородская область
62;Псков, Псковская область
63;Сыктывкар, Республика Коми
64;Череповец, Вологодская область
65;Балаково, Саратовская область
66;Астрахань, Астраханская область
67;Мурманск, Мурманская область
68;Саранск, Республика Мордовия
69;Хабаровск, Хабаровский край
70;Анапа, Краснодарский край
71;Владивосток, Приморский край
72;Старый Оскол, Белгородская область
73;Геленджик, Краснодарский край
74;Нефтеюганск, Ханты-Мансийский автономный округ - Югра
75;Орск, Оренбургская область
76;Калуга, Калужская область
77;Стерлитамак, Республика Башкортостан
78;Ухта, Республика Коми
79;Волжский, Волгоградская область
80;Кострома, Костромская область
81;Бийск, Алтайский край
82;Златоуст, Челябинская область
83;Альметьевск, Республика Татарстан
84;Ишим, Тюменская область
85;Волгодонск, Ростовская область
86;Братск, Иркутская область
87;Ханты-Мансийск, Ханты-Мансийский автономный округ - Югра
88;Новый Уренгой, Ямало-Ненецкий автономный округ
89;Прокопьевск, Кемеровская область
90;Комсомольск-на-Амуре, Хабаровский край
91;Армавир, Краснодарский край
92;Сызрань, Самарская область
93;Рыбинск, Ярославская область
94;Пятигорск, Ставропольский край
95;Энгельс, Саратовская область
96;Нижнекамск, Республика Татарстан
97;Туапсе, Краснодарский край
98;Великие Луки, Псковская область
99;Шахты, Ростовская область
